"Кампания","Группа","Ключевая фраза","Показы"
"Генеральная B2C","Квартира","генеральная уборка квартиры","1077"
"Генеральная B2C","Квартира","генеральная уборка кв","41"
"Генеральная B2C","Квартира","заказать генеральную уборку квартиры","15"
"Генеральная B2C","Квартира","провести генеральную уборку квартиры","14"
"Генеральная B2C","Квартира","нужна генеральная уборка квартиры","9"
"Генеральная B2C","Квартира","генеральная уборка квартир компании","6"
"Генеральная B2C","Квартира","генеральная уборка квартиры быстро","4"
"Генеральная B2C","Квартира","генеральная уборка квартиры недорого","2"
"Генеральная B2C","Квартира","генеральная профессиональная уборка квартир","1"
"Генеральная B2C","Москва","генеральная уборка москва","625"
"Генеральная B2C","Москва","генеральная уборка квартиры в москве","390"
"Генеральная B2C","Москва","заказать генеральную уборку в москве","11"
"Генеральная B2C","Москва","заказать генеральную уборку квартиры в москве","11"
"Генеральная B2C","Цена","генеральная уборка цена","200"
"Генеральная B2C","Цена","генеральная уборка квартиры цена","144"
"Генеральная B2C","Цена","генеральная уборка цена москва","92"
"Генеральная B2C","Цена","генеральная уборка квартиры в москве цены","62"
"Генеральная B2C","Цена","генеральная уборка клининг цена","32"
"Генеральная B2C","Цена","клининг генеральная уборка квартиры цены","26"
"Генеральная B2C","Цена","клининг уборка квартиры цена москва генеральная","15"
"Генеральная B2C","Цена","цена генеральной уборки за м2","7"
"Генеральная B2C","Цена","генеральная уборка квартиры цена услуги","4"
"Генеральная B2C","Цена","услуги генеральной уборки цена","4"
"Генеральная B2C","Цена","клининговая компания генеральная уборка цена","3"
"Генеральная B2C","Цена","генеральная уборка квартиры расценки","2"
"Генеральная B2C","Стоимость","генеральная уборка стоимость","169"
"Генеральная B2C","Стоимость","генеральная уборка квартиры стоимость","119"
"Генеральная B2C","Стоимость","генеральная уборка стоимость москва","90"
"Генеральная B2C","Стоимость","генеральная уборка квартиры в москве стоимость","84"
"Генеральная B2C","Стоимость","рассчитать стоимость генеральной уборки","6"
"Генеральная B2C","Стоимость","стоимость генеральной уборки кв м","6"
"Генеральная B2C","Стоимость","генеральная уборка стоимость за м2","2"
"Генеральная B2C","Сколько стоит","сколько стоит генеральная уборка","210"
"Генеральная B2C","Сколько стоит","сколько стоит генеральная уборка квартиры","144"
"Генеральная B2C","Сколько стоит","сколько стоит генеральная уборка в москве","75"
"Генеральная B2C","Сколько стоит","сколько стоит генеральная уборка квартиры в москве","70"
"Генеральная B2C","Сколько стоит","сколько стоит квадратный метр генеральной уборки","5"
